total run time: 7.152557373046875e-07...
total run time: 4.76837158203125e-07...
total run time: 7.152557373046875e-07...
total run time: 7.152557373046875e-07...
total run time: 7.152557373046875e-07...
total run time: 9.5367431640625e-07...
total run time: 4.76837158203125e-07...
total run time: 1.430511474609375e-06...
total run time: 8.168914794921875...
total run time: 49.096269845962524...
total run time: 4.417592763900757...
total run time: 10.9967782497406...
total run time: 2.56803822517395...
total run time: 4.267964124679565...
total run time: 4.180541515350342...
total run time: 4.5250208377838135...
total run time: 6.813085317611694...
Ran code at 1740171401.4873066, with a total run time: 4.409690618515015...
Ran code at 2025-02-21 15:00:18.422079, with a total run time: 3.865020513534546...
Ran code at 2025-02-21 15:00:30.945095, with a total run time: 12.915085792541504...
Ran code at 2025-02-21 15:02:42.424142, with a total run time: 6.587632417678833...
Ran code at 2025-02-21 16:14:09.335305, with 1000 steps, and a total run time: 3.91402530670166...
Ran code at 2025-02-21 16:14:33.480794, with 1000 steps, and a total run time: 2.5684893131256104...
Ran code at 2025-02-21 16:14:44.514603, with 10000 steps, and a total run time: 2.3824732303619385...
Ran code at 2025-02-21 16:14:50.107370, with 100000 steps, and a total run time: 4.319344758987427...
Ran code at 2025-02-21 16:15:02.266895, with 80000 steps, and a total run time: 4.457066535949707...
Ran code at 2025-02-21 16:18:30.146299, with 50000 steps, and a total run time: 13.842441320419312...
Ran code at 2025-02-21 16:18:49.460312, with 50000 steps, and a total run time: 2.792806386947632...
Ran code at 2025-02-21 16:19:01.797374, with 50000 steps, and a total run time: 6.252320289611816...
Ran code at 2025-02-21 16:19:15.182050, with 50000 steps, and a total run time: 5.103312015533447...
Ran code at 2025-02-21 16:19:28.488907, with 50000 steps, and a total run time: 5.7288243770599365...
Ran code at 2025-02-21 16:19:42.798338, with 50000 steps, and a total run time: 4.7180540561676025...
Ran code at 2025-02-21 16:20:04.950135, with 50000 steps, and a total run time: 5.272587776184082...
Ran code at 2025-02-21 16:20:24.410813, with 50000 steps, and a total run time: 17.069968700408936...
Ran code at 2025-02-21 16:20:50.325620, with 50000 steps, and a total run time: 6.629483938217163...
Ran code at 2025-02-21 16:21:27.157326, with 50000 steps, and a total run time: 4.509522199630737...
Ran code at 2025-02-21 16:21:37.583351, with 50000 steps, and a total run time: 8.039411306381226...
Ran code at 2025-02-21 16:21:53.616024, with 50000 steps, and a total run time: 4.835122108459473...
Ran code at 2025-02-21 16:23:18.112260, with 50000 steps, and a total run time: 3.6427597999572754...
Ran code at 2025-02-21 16:23:28.209924, with 50000 steps, and a total run time: 4.870652198791504...
Ran code at 2025-02-21 16:23:36.700800, with 50000 steps, and a total run time: 7.053297519683838...
Ran code at 2025-02-21 16:23:50.393258, with 50000 steps, and a total run time: 9.042176008224487...
Ran code at 2025-02-21 16:28:43.431582, with 50000 steps, and a total run time: 3.175321102142334...
Ran code at 2025-02-21 16:28:43.427055, with 50000 steps, and a total run time: 6.728172540664673...
Ran code at 2025-02-21 16:28:56.152748, with 50000 steps, and a total run time: 21.903265237808228...
